Symbol,Date,Close A
AMZN,1/5/2018 16:00:00,61.46
AMZN,1/8/2018 16:00:00,62.34
AMZN,1/9/2018 16:00:00,62.64
AMZN,1/10/2018 16:00:00,62.72
AMZN,1/11/2018 16:00:00,63.83
AMZN,1/12/2018 16:00:00,65.26
AMZN,1/16/2018 16:00:00,65.24
AMZN,1/17/2018 16:00:00,64.75
AMZN,1/18/2018 16:00:00,64.67
AMZN,1/19/2018 16:00:00,64.73
AMZN,1/22/2018 16:00:00,66.37
AMZN,1/23/2018 16:00:00,68.13
AMZN,1/24/2018 16:00:00,67.88
AMZN,1/25/2018 16:00:00,68.9
AMZN,1/26/2018 16:00:00,70.1
AMZN,1/29/2018 16:00:00,70.88
AMZN,1/30/2018 16:00:00,71.89
AMZN,1/31/2018 16:00:00,72.54
AMZN,2/1/2018 16:00:00,69.5
AMZN,2/2/2018 16:00:00,71.5
AMZN,2/5/2018 16:00:00,69.5
AMZN,2/6/2018 16:00:00,72.14
AMZN,2/7/2018 16:00:00,70.84
AMZN,2/8/2018 16:00:00,67.53
AMZN,2/9/2018 16:00:00,66.98
AMZN,2/12/2018 16:00:00,69.31
AMZN,2/13/2018 16:00:00,70.73
AMZN,2/14/2018 16:00:00,72.55
AMZN,2/15/2018 16:00:00,73.09
AMZN,2/16/2018 16:00:00,72.43
AMZN,2/20/2018 16:00:00,73.42
AMZN,2/21/2018 16:00:00,74.15
AMZN,2/22/2018 16:00:00,74.27
AMZN,2/23/2018 16:00:00,75
AMZN,2/26/2018 16:00:00,76.1
AMZN,2/27/2018 16:00:00,75.6
AMZN,2/28/2018 16:00:00,75.62
AMZN,3/1/2018 16:00:00,74.67
AMZN,3/2/2018 16:00:00,75.01
AMZN,3/5/2018 16:00:00,76.18
AMZN,3/6/2018 16:00:00,76.88
AMZN,3/7/2018 16:00:00,77.25
AMZN,3/8/2018 16:00:00,77.59
AMZN,3/9/2018 16:00:00,78.94
AMZN,3/12/2018 16:00:00,79.92
AMZN,3/13/2018 16:00:00,79.41
AMZN,3/14/2018 16:00:00,79.55
AMZN,3/15/2018 16:00:00,79.12
AMZN,3/16/2018 16:00:00,78.58
AMZN,3/19/2018 16:00:00,77.25
AMZN,3/20/2018 16:00:00,79.33
AMZN,3/21/2018 16:00:00,79.09
AMZN,3/22/2018 16:00:00,77.25
AMZN,3/23/2018 16:00:00,74.78
AMZN,3/26/2018 16:00:00,77.79
AMZN,3/27/2018 16:00:00,74.85
AMZN,3/28/2018 16:00:00,71.57
AMZN,3/29/2018 16:00:00,72.37
AMZN,4/2/2018 16:00:00,68.6
AMZN,4/3/2018 16:00:00,69.6
AMZN,4/4/2018 16:00:00,70.53
AMZN,4/5/2018 16:00:00,72.59
AMZN,4/6/2018 16:00:00,70.26
AMZN,4/9/2018 16:00:00,70.3
AMZN,4/10/2018 16:00:00,71.81
AMZN,4/11/2018 16:00:00,71.35
AMZN,4/12/2018 16:00:00,72.43
AMZN,4/13/2018 16:00:00,71.54
AMZN,4/16/2018 16:00:00,72.08
AMZN,4/17/2018 16:00:00,75.19
AMZN,4/18/2018 16:00:00,76.39
AMZN,4/19/2018 16:00:00,77.85
AMZN,4/20/2018 16:00:00,76.37
AMZN,4/23/2018 16:00:00,75.89
AMZN,4/24/2018 16:00:00,73
AMZN,4/25/2018 16:00:00,73.01
AMZN,4/26/2018 16:00:00,75.9
AMZN,4/27/2018 16:00:00,78.63
AMZN,4/30/2018 16:00:00,78.31
AMZN,5/1/2018 16:00:00,79.11
AMZN,5/2/2018 16:00:00,78.48
AMZN,5/3/2018 16:00:00,78.6
AMZN,5/4/2018 16:00:00,79.05
AMZN,5/7/2018 16:00:00,80.01
AMZN,5/8/2018 16:00:00,79.62
AMZN,5/9/2018 16:00:00,80.4
AMZN,5/10/2018 16:00:00,80.45
AMZN,5/11/2018 16:00:00,80.15
AMZN,5/14/2018 16:00:00,80.08
AMZN,5/15/2018 16:00:00,78.81
AMZN,5/16/2018 16:00:00,79.36
AMZN,5/17/2018 16:00:00,79.09
AMZN,5/18/2018 16:00:00,78.72
AMZN,5/21/2018 16:00:00,79.27
AMZN,5/22/2018 16:00:00,79.07
AMZN,5/23/2018 16:00:00,80.09
AMZN,5/24/2018 16:00:00,80.15
AMZN,5/25/2018 16:00:00,80.51
AMZN,5/29/2018 16:00:00,80.64
AMZN,5/30/2018 16:00:00,81.24
AMZN,5/31/2018 16:00:00,81.24
AMZN,6/1/2018 16:00:00,82.08
AMZN,6/4/2018 16:00:00,83.26
AMZN,6/5/2018 16:00:00,84.82
AMZN,6/6/2018 16:00:00,84.79
AMZN,6/7/2018 16:00:00,84.47
AMZN,6/8/2018 16:00:00,84.2
AMZN,6/11/2018 16:00:00,84.46
AMZN,6/12/2018 16:00:00,84.94
AMZN,6/13/2018 16:00:00,85.24
AMZN,6/14/2018 16:00:00,86.19
AMZN,6/15/2018 16:00:00,85.8
AMZN,6/18/2018 16:00:00,86.19
AMZN,6/19/2018 16:00:00,86.74
AMZN,6/20/2018 16:00:00,87.5
AMZN,6/21/2018 16:00:00,86.51
AMZN,6/22/2018 16:00:00,85.78
AMZN,6/25/2018 16:00:00,83.16
AMZN,6/26/2018 16:00:00,84.55
AMZN,6/27/2018 16:00:00,83.03
AMZN,6/28/2018 16:00:00,85.07
AMZN,6/29/2018 16:00:00,84.99
AMZN,7/2/2018 16:00:00,85.69
AMZN,7/3/2018 13:00:00,84.7
AMZN,7/5/2018 16:00:00,84.99
AMZN,7/6/2018 16:00:00,85.53
AMZN,7/9/2018 16:00:00,86.95
AMZN,7/10/2018 16:00:00,87.15
AMZN,7/11/2018 16:00:00,87.75
AMZN,7/12/2018 16:00:00,89.83
AMZN,7/13/2018 16:00:00,90.65
AMZN,7/16/2018 16:00:00,91.12
AMZN,7/17/2018 16:00:00,92.2
AMZN,7/18/2018 16:00:00,92.15
AMZN,7/19/2018 16:00:00,90.65
AMZN,7/20/2018 16:00:00,90.69
AMZN,7/23/2018 16:00:00,90.1
AMZN,7/24/2018 16:00:00,91.46
AMZN,7/25/2018 16:00:00,93.18
AMZN,7/26/2018 16:00:00,90.4
AMZN,7/27/2018 16:00:00,90.86
AMZN,7/30/2018 16:00:00,88.96
AMZN,7/31/2018 16:00:00,88.87
AMZN,8/1/2018 16:00:00,89.86
AMZN,8/2/2018 16:00:00,91.72
AMZN,8/3/2018 16:00:00,91.16
AMZN,8/6/2018 16:00:00,92.39
AMZN,8/7/2018 16:00:00,93.12
AMZN,8/8/2018 16:00:00,94.33
AMZN,8/9/2018 16:00:00,94.93
AMZN,8/10/2018 16:00:00,94.32
AMZN,8/13/2018 16:00:00,94.81
AMZN,8/14/2018 16:00:00,95.98
AMZN,8/15/2018 16:00:00,94.13
AMZN,8/16/2018 16:00:00,94.33
AMZN,8/17/2018 16:00:00,94.11
AMZN,8/20/2018 16:00:00,93.84
AMZN,8/21/2018 16:00:00,94.17
AMZN,8/22/2018 16:00:00,95.25
AMZN,8/23/2018 16:00:00,95.15
AMZN,8/24/2018 16:00:00,95.27
AMZN,8/27/2018 16:00:00,96.38
AMZN,8/28/2018 16:00:00,96.64
AMZN,8/29/2018 16:00:00,99.91
AMZN,8/30/2018 16:00:00,100.12
AMZN,8/31/2018 16:00:00,100.64
AMZN,9/4/2018 16:00:00,101.98
AMZN,9/5/2018 16:00:00,99.74
AMZN,9/6/2018 16:00:00,97.92
AMZN,9/7/2018 16:00:00,97.6
AMZN,9/10/2018 16:00:00,96.95
AMZN,9/11/2018 16:00:00,99.36
AMZN,9/12/2018 16:00:00,99.5
AMZN,9/13/2018 16:00:00,99.49
AMZN,9/14/2018 16:00:00,98.51
AMZN,9/17/2018 16:00:00,95.4
AMZN,9/18/2018 16:00:00,97.05
AMZN,9/19/2018 16:00:00,96.32
AMZN,9/20/2018 16:00:00,97.22
AMZN,9/21/2018 16:00:00,95.75
AMZN,9/24/2018 16:00:00,96.72
AMZN,9/25/2018 16:00:00,98.73
AMZN,9/26/2018 16:00:00,98.74
AMZN,9/27/2018 16:00:00,100.65
AMZN,9/28/2018 16:00:00,100.15
AMZN,10/1/2018 16:00:00,100.22
AMZN,10/2/2018 16:00:00,98.57
AMZN,10/3/2018 16:00:00,97.64
AMZN,10/4/2018 16:00:00,95.47
AMZN,10/5/2018 16:00:00,94.48
AMZN,10/8/2018 16:00:00,93.22
AMZN,10/9/2018 16:00:00,93.52
AMZN,10/10/2018 16:00:00,87.76
AMZN,10/11/2018 16:00:00,85.97
AMZN,10/12/2018 16:00:00,89.43
AMZN,10/15/2018 16:00:00,88.05
AMZN,10/16/2018 16:00:00,91
AMZN,10/17/2018 16:00:00,91.59
AMZN,10/18/2018 16:00:00,88.54
AMZN,10/19/2018 16:00:00,88.2
AMZN,10/22/2018 16:00:00,89.47
AMZN,10/23/2018 16:00:00,88.44
AMZN,10/24/2018 16:00:00,83.21
AMZN,10/25/2018 16:00:00,89.11
AMZN,10/26/2018 16:00:00,82.14
AMZN,10/29/2018 16:00:00,76.94
AMZN,10/30/2018 16:00:00,76.52
AMZN,10/31/2018 16:00:00,79.9
AMZN,11/1/2018 16:00:00,83.28
AMZN,11/2/2018 16:00:00,83.28
AMZN,11/5/2018 16:00:00,81.39
AMZN,11/6/2018 16:00:00,82.14
AMZN,11/7/2018 16:00:00,87.77
AMZN,11/8/2018 16:00:00,87.75
AMZN,11/9/2018 16:00:00,85.62
AMZN,11/12/2018 16:00:00,81.84
AMZN,11/13/2018 16:00:00,81.56
AMZN,11/14/2018 16:00:00,79.95
AMZN,11/15/2018 16:00:00,80.97
AMZN,11/16/2018 16:00:00,79.67
AMZN,11/19/2018 16:00:00,75.61
AMZN,11/20/2018 16:00:00,74.77
AMZN,11/21/2018 16:00:00,75.84
AMZN,11/23/2018 13:00:00,75.1
AMZN,11/26/2018 16:00:00,79.07
AMZN,11/27/2018 16:00:00,79.07
AMZN,11/28/2018 16:00:00,83.89
AMZN,11/29/2018 16:00:00,83.68
AMZN,11/30/2018 16:00:00,84.51
AMZN,12/3/2018 16:00:00,88.62
AMZN,12/4/2018 16:00:00,83.42
AMZN,12/6/2018 16:00:00,84.96
AMZN,12/7/2018 16:00:00,81.46
AMZN,12/10/2018 16:00:00,82.05
AMZN,12/11/2018 16:00:00,82.16
AMZN,12/12/2018 16:00:00,83.18
AMZN,12/13/2018 16:00:00,82.92
AMZN,12/14/2018 16:00:00,79.6
AMZN,12/17/2018 16:00:00,76.05
AMZN,12/18/2018 16:00:00,77.57
AMZN,12/19/2018 16:00:00,74.75
AMZN,12/20/2018 16:00:00,73.04
AMZN,12/21/2018 16:00:00,68.87
AMZN,12/24/2018 13:00:00,67.2
AMZN,12/26/2018 16:00:00,73.55
AMZN,12/27/2018 16:00:00,73.08
AMZN,12/28/2018 16:00:00,73.9
AMZN,12/31/2018 16:00:00,75.1
AMZN,1/2/2019 16:00:00,76.96
AMZN,1/3/2019 16:00:00,75.01
AMZN,1/4/2019 16:00:00,78.77